time,person_count
24/01/2018 22:33:08,0
06/02/2018 10:26:02,1
06/02/2018 10:26:19,2
06/02/2018 10:26:21,3
06/02/2018 10:26:23,4
06/02/2018 10:26:25,5
06/02/2018 10:26:27,6
06/02/2018 10:26:29,7
06/02/2018 10:26:31,8
06/02/2018 10:26:34,9
06/02/2018 10:26:36,10
06/02/2018 10:26:38,11
06/02/2018 10:26:43,10
06/02/2018 10:26:45,9
06/02/2018 10:26:46,8
06/02/2018 10:26:48,7
06/02/2018 10:26:50,6
06/02/2018 10:26:52,5
06/02/2018 10:26:54,4
06/02/2018 10:26:57,3
06/02/2018 10:26:58,2
06/02/2018 10:27:01,1
06/02/2018 10:27:03,0
06/02/2018 10:45:47,0
06/02/2018 10:56:35,1
06/02/2018 10:56:36,0
06/02/2018 10:56:37,1
06/02/2018 10:56:37,2
06/02/2018 10:56:38,1
06/02/2018 10:56:38,0
06/02/2018 10:57:05,1
06/02/2018 10:57:07,2
06/02/2018 10:57:08,3
06/02/2018 10:57:10,2
06/02/2018 10:57:11,1
06/02/2018 10:57:12,0
06/02/2018 11:46:19,0
06/02/2018 11:51:23,0
12/02/2018 10:27:48,1
12/02/2018 10:27:49,0
12/02/2018 10:32:52,0
12/02/2018 10:37:56,0
12/02/2018 10:42:59,0
12/02/2018 10:48:03,0
12/02/2018 10:53:06,0
12/02/2018 10:58:10,0
12/02/2018 11:03:13,0
12/02/2018 11:08:16,0
12/02/2018 11:13:20,0
12/02/2018 11:18:23,0
12/02/2018 11:23:27,0
12/02/2018 12:59:54,1
12/02/2018 13:00:05,2
12/02/2018 13:00:05,3
12/02/2018 13:00:05,4
12/02/2018 13:00:05,5
12/02/2018 13:00:06,7
12/02/2018 13:00:06,6
12/02/2018 13:00:06,8
12/02/2018 13:00:07,9
12/02/2018 13:00:07,11
12/02/2018 13:00:08,10
12/02/2018 13:02:16,12
12/02/2018 13:07:20,12
12/02/2018 13:12:23,12
12/02/2018 13:12:52,13
12/02/2018 13:17:56,13
12/02/2018 13:22:59,13
12/02/2018 13:28:02,13
12/02/2018 13:31:57,12
12/02/2018 13:31:57,11
12/02/2018 13:31:58,10
12/02/2018 13:31:58,9
12/02/2018 13:31:58,8
12/02/2018 13:31:59,7
12/02/2018 13:31:59,6
12/02/2018 13:31:59,5
12/02/2018 13:32:00,4
12/02/2018 13:32:00,3
12/02/2018 13:32:01,2
12/02/2018 13:32:01,1
12/02/2018 13:32:02,0
12/02/2018 13:37:05,0
12/02/2018 13:42:09,0
12/02/2018 13:47:12,0
12/02/2018 13:52:15,0
12/02/2018 13:57:19,0
12/02/2018 14:02:22,0
12/02/2018 14:07:26,0
12/02/2018 14:12:29,0
12/02/2018 14:17:32,0
12/02/2018 14:22:36,0
12/02/2018 14:27:39,0
13/02/2018 08:59:50,1
13/02/2018 08:59:50,2
13/02/2018 08:59:50,3
13/02/2018 08:59:51,4
13/02/2018 08:59:51,5
13/02/2018 09:00:03,6
13/02/2018 09:00:04,7
13/02/2018 09:00:04,8
13/02/2018 09:00:04,9
13/02/2018 09:05:08,9
13/02/2018 09:10:12,9
13/02/2018 09:15:15,9
13/02/2018 09:20:18,9
13/02/2018 09:25:22,9
13/02/2018 09:30:26,9
13/02/2018 09:35:28,9
13/02/2018 09:40:32,9
13/02/2018 09:45:35,9
13/02/2018 09:50:39,9
13/02/2018 09:55:42,9
13/02/2018 10:00:45,9
13/02/2018 10:05:49,9
13/02/2018 10:10:53,9
13/02/2018 10:15:56,9
13/02/2018 10:20:59,9
13/02/2018 10:26:03,9
13/02/2018 10:31:06,9
13/02/2018 10:36:09,9
13/02/2018 10:41:13,9
13/02/2018 10:46:16,9
13/02/2018 10:51:20,9
13/02/2018 10:56:23,9
13/02/2018 11:01:27,9
13/02/2018 11:06:30,9
13/02/2018 11:11:33,9
13/02/2018 11:16:37,9
13/02/2018 11:21:40,9
13/02/2018 11:26:44,9
13/02/2018 11:31:47,9
13/02/2018 11:36:51,9
13/02/2018 11:41:54,9
13/02/2018 11:46:58,9
13/02/2018 11:52:01,9
13/02/2018 11:57:04,9
13/02/2018 12:02:08,9
13/02/2018 12:07:11,9
13/02/2018 12:12:15,9
13/02/2018 12:17:18,9
13/02/2018 12:22:21,9
13/02/2018 12:27:25,9
13/02/2018 12:32:29,9
13/02/2018 12:37:32,9
13/02/2018 12:42:35,9
13/02/2018 12:45:10,8
13/02/2018 12:45:10,7
13/02/2018 12:45:10,6
13/02/2018 12:45:11,5
13/02/2018 12:45:11,4
13/02/2018 12:45:11,3
13/02/2018 12:45:12,2
13/02/2018 12:45:12,1
13/02/2018 12:45:14,0
13/02/2018 12:50:18,0
13/02/2018 12:55:22,0
13/02/2018 13:00:25,0
13/02/2018 13:05:28,0
13/02/2018 13:10:32,0
13/02/2018 13:15:35,0
13/02/2018 13:20:39,0
13/02/2018 13:25:42,0
13/02/2018 13:30:45,0
13/02/2018 13:35:49,0
13/02/2018 13:40:52,0
13/02/2018 13:55:01,1
13/02/2018 13:55:02,2
13/02/2018 13:55:02,3
13/02/2018 13:55:03,4
13/02/2018 13:55:03,5
13/02/2018 13:55:03,6
13/02/2018 13:55:05,7
13/02/2018 13:55:05,8
13/02/2018 13:55:06,9
13/02/2018 14:00:09,9
13/02/2018 14:05:13,9
13/02/2018 14:10:16,9
13/02/2018 14:14:37,10
13/02/2018 14:19:40,10
13/02/2018 14:24:44,10
13/02/2018 14:29:47,10
13/02/2018 14:34:51,10
13/02/2018 14:39:54,10
13/02/2018 14:44:57,10
13/02/2018 14:50:01,10
13/02/2018 14:55:04,10
13/02/2018 15:00:08,10
13/02/2018 15:05:12,10
13/02/2018 15:10:15,10
13/02/2018 15:15:18,10
13/02/2018 15:20:22,10
13/02/2018 15:25:25,10
13/02/2018 15:30:28,10
13/02/2018 15:33:56,11
13/02/2018 15:39:00,11
13/02/2018 15:44:03,11
13/02/2018 15:49:07,11
13/02/2018 15:54:10,11
13/02/2018 15:59:14,11
13/02/2018 16:00:03,10
13/02/2018 16:05:07,10
13/02/2018 16:10:10,10
13/02/2018 16:15:14,10
13/02/2018 16:15:26,9
13/02/2018 16:15:32,10
13/02/2018 16:20:36,10
13/02/2018 16:25:39,10
13/02/2018 16:30:42,10
13/02/2018 16:35:46,10
13/02/2018 16:40:49,10
13/02/2018 16:45:53,10
13/02/2018 16:50:56,10
13/02/2018 16:55:59,10
13/02/2018 17:01:03,10
13/02/2018 17:06:06,10
13/02/2018 17:19:09,6
